frame,delta_seconds
1753,0.009393
1754,0.009364
1755,0.009330
1756,0.009521
1757,0.009426
1758,0.009451
1759,0.009171
1760,0.009456
1761,0.009584
1762,0.009256
1763,0.009861
1764,0.009501
1765,0.009279
1766,0.009362
1767,0.009302
1768,0.009565
1769,0.009267
1770,0.009590
1771,0.009483
1772,0.009991
1773,0.009355
1774,0.009422
1775,0.009407
1776,0.009366
1777,0.009372
1778,0.009314
1779,0.009515
1780,0.009227
1781,0.009377
1782,0.009447
1783,0.009435
1784,0.009318
1785,0.009405
1786,0.009690
1787,0.009275
1788,0.009372
1789,0.009527
1790,0.009741
1791,0.009294
1792,0.009333
1793,0.009505
1794,0.009590
1795,0.009395
1796,0.009353
1797,0.009377
1798,0.009494
1799,0.009316
1800,0.009450
1801,0.009701
1802,0.009527
1803,0.009500
1804,0.009399
1805,0.009214
1806,0.009411
1807,0.009390
1808,0.009480
1809,0.009534
1810,0.009372
1811,0.009360
1812,0.009412
1813,0.009430
1814,0.009509
1815,0.009532
1816,0.009181
1817,0.009536
1818,0.009925
1819,0.009337
1820,0.009446
1821,0.009351
1822,0.009531
1823,0.009262
1824,0.009488
1825,0.009532
1826,0.009234
1827,0.009540
1828,0.009460
1829,0.009983
1830,0.009303
1831,0.009568
1832,0.009447
1833,0.009333
1834,0.009546
1835,0.009311
1836,0.009482
1837,0.009283
1838,0.009334
1839,0.009576
1840,0.009567
1841,0.009219
1842,0.009435
1843,0.009397
1844,0.009567
1845,0.009299
1846,0.009504
1847,0.009528
1848,0.010062
1849,0.009465
1850,0.009454
1851,0.009457
1852,0.009449
1853,0.009343
1854,0.009576
1855,0.009404
1856,0.009397
1857,0.009437
1858,0.009491
1859,0.009313
1860,0.009559
1861,0.009399
1862,0.009423
1863,0.009398
1864,0.009869
1865,0.009475
1866,0.009318
1867,0.009481
